"","y","N","m","z","n1","n2","n3"
"1",-0.00824538388547869,0.968352999701413,0,-0.000218051701390589,100,0,0
"2",-0.0267349745634317,0.951295456419943,0,-0.000556216354171698,100,0,0
"3",-0.00161054934853278,0.971411376579515,0,-0.00592754846086269,100,0,0
"4",0.00250021700960307,0.962610642859535,0,0.00253404654590871,100,0,0
"5",0.00371914806817324,0.971645285653953,0,0.00358423796167648,100,0,0
"6",0.000410631223191735,0.985991921276936,0,0.00829647144549864,100,0,0
"7",0.000691523372150572,0.980002313159513,0,0.003237534463902,100,0,0
"8",0.00754556914559881,0.967381181558399,0,0.00683293223031442,100,0,0
"9",-0.00428530478838278,0.962593449725721,0,0.0114999855517466,100,0,0
"10",0.00659620325837397,0.994277097731634,0,0.00323632283773659,100,0,0
"11",0.00301128752744602,1.19296309217445,0.2,0.513272872903534,100,0,0
"12",-0.0427497490485991,1.3322287131857,0.2,0.843998960176497,67,32,1
"13",-0.0612113196516663,1.46180069044831,0.2,1.07573819289933,77,23,0
"14",-0.117895668868759,1.48589073480062,0.2,1.25010368191655,77,23,0
"15",-0.128771931928769,1.52748573997112,0.2,1.37904250015986,85,15,0
"16",-0.145631036151491,1.5158568167367,0.2,1.47342126604224,70,27,3
"17",-0.145259188473872,1.51630950238684,0.2,1.5669139021235,81,19,0
"18",-0.171338395283417,1.48595886660663,0.2,1.64005117298674,77,21,2
"19",-0.164830282419843,1.4302398344886,0.2,1.69837378575419,73,27,0
"20",-0.162899093804732,1.43250828421425,0.2,1.7525394493661,67,32,1
"21",-0.173585755500917,1.39439109378074,0.2,1.79559501381537,74,25,1
"22",-0.187742659425332,1.38464018781972,0.2,1.83182739141465,70,28,2
"23",-0.179091201585011,1.33660345102148,0.2,1.86601394970859,78,21,1
"24",-0.196425978614893,1.31820019789395,0.2,1.8968403377177,75,24,1
"25",-0.190794798175094,1.27066592335008,0.2,1.92826957369619,73,24,3
"26",-0.184941842585784,1.26814212230361,0.2,1.95043679978903,78,21,1
"27",-0.202218397021944,1.20810736721174,0.2,1.97267783346889,77,21,2
"28",-0.199226246692088,1.21975061404558,0.2,1.9824893397946,80,20,0
"29",-0.199838143173482,1.17083151557139,0.2,2.00683850583775,73,24,3
"30",-0.202398106636306,1.16583553705846,0.2,2.02324926755631,60,39,1
