"","y","N","m","z","n1","n2","n3"
"1",-0.0621949973558416,0.99498475357093,0,0.00355688727635027,100,0,0
"2",0.0349728758898744,0.954266025542156,0,0.00399404683760203,100,0,0
"3",-0.0433353158875723,0.965895003955629,0,-0.00403557742091083,100,0,0
"4",-0.0186564870616945,0.886161489609026,0,-0.000203000939118247,100,0,0
"5",0.00464036307158038,0.889127421238617,0,0.00279969965094799,100,0,0
"6",0.0478675777853808,0.932696544473076,0,-0.00162252901757771,100,0,0
"7",0.159887969086697,1.01041426013793,0,-0.00382596144269108,100,0,0
"8",-0.112777327479367,1.01996151442746,0,0.00240499050771383,100,0,0
"9",-0.0845416873917469,0.978010608093783,0,0.0072562160367597,100,0,0
"10",-0.0772144808339173,0.781014544773075,0,0.00763605849535207,100,0,0
"11",0.248672892645381,1.1431752472675,0,0.0132183376356418,100,0,0
"12",0.0945969509664991,1.24001967289932,0.05,0.179479937749538,100,0,0
"13",-0.0144215225200209,1.30465260879523,0.1,0.439746812876116,90,10,0
"14",0.0732305048744232,1.57754462092952,0.15,0.709456693350804,89,11,0
"15",-0.108025361047628,1.61976297291044,0.2,1.01049454984798,87,12,1
"16",-0.275194149949659,1.3533446896449,0.2,1.27724827165898,85,15,0
"17",-0.350323547902079,1.10700771814042,0.2,1.55080570605835,73,26,1
"18",-0.315915680149126,1.03049147679768,0.2,1.79227073248366,75,23,2
"19",-0.330418649615435,0.959153191800429,0.2,2.00172302700313,71,27,2
"20",-0.268657610972463,0.826928181734372,0.2,2.16748268491658,73,27,0
"21",-0.345884801733244,0.870680510522116,0.2,2.31292456613884,73,26,1
"22",-0.456914231464773,0.787731375138505,0.2,2.47480749175008,75,23,2
"23",-0.542308887806685,0.670307204944275,0.2,2.68134657424542,57,38,5
"24",-0.545834655768712,0.661680084455313,0.2,2.86380940075683,56,36,8
"25",-0.643571706591141,0.538329303360377,0.2,3.03017014548527,50,41,9
"26",-0.812553027440842,0.419522158411406,0.2,3.22850286159681,46,43,11
"27",-0.76139403758187,0.38188610313272,0.2,3.35976066857007,31,49,20
"28",-0.841619109920369,0.37503040694849,0.2,3.4451747645967,26,51,23
"29",-0.805663291804041,0.378663154081671,0.2,3.48967205437993,23,52,25
"30",-1.02374704909474,0.350448322878654,0.2,3.56548830811315,22,53,25
"31",-0.931895873874506,0.124154992219421,0,2.97242437850063,23,43,34
"32",-0.423272703592648,0.0845684721180405,0,2.4760444055198,100,0,0
"33",-0.216993111035098,0.0690009806741495,0,2.08130138727223,100,0,0
"34",-0.168025804874873,0.0606004723749462,0,1.73956114953283,100,0,0
"35",0.214335577097194,0.0775833578234191,0,1.45045132634165,100,0,0
"36",0.0131020947618392,0.0648921682413295,0,1.20788127910246,100,0,0
"37",0.322405777133945,0.104652377291082,0,1.00239554176263,100,0,0
"38",0.139275296215144,0.11721544953263,0,0.838280579521871,100,0,0
"39",0.393983118101954,0.187348121573966,0,0.70121532649768,100,0,0
"40",0.0967806571293053,0.198872074376336,0,0.586584594955865,100,0,0
"41",0.117007757181681,0.211699144659873,0,0.48383669216088,100,0,0
"42",0.216539240020747,0.240902762564108,0,0.397983364878947,100,0,0
"43",0.275799404537992,0.357846082085925,0,0.331711266452548,100,0,0
"44",0.180951074778306,0.411265483094601,0,0.276290489851527,100,0,0
"45",0.234768079617758,0.517691286189245,0,0.22389955706737,100,0,0
"46",0.0491427519361158,0.799086074458265,0.2,1.20525063741678,100,0,0
"47",-0.047704152283334,0.860948973124329,0.2,1.64939883192157,65,31,4
"48",-0.0309489258605997,1.13322002703655,0.2,1.86350320249989,78,21,1
"49",-0.183899993354205,1.09007544012726,0.2,1.99326696380209,77,22,1
"50",-0.262609896922303,1.03599844830566,0.2,2.11053846039482,75,25,0
"51",-0.243055148942918,1.05010277383467,0.2,2.20239242573062,73,25,2
"52",-0.538467187839103,0.846602950480032,0.2,2.37167250532806,72,28,0
"53",-0.472607389479425,0.749070167823591,0.2,2.56134131253701,68,28,4
"54",-0.485666168658474,0.601595960212428,0.2,2.72384758841149,68,28,4
"55",-0.50096695421302,0.555548138048952,0.2,2.85710807021268,60,35,5
"56",-0.633117319119029,0.514452630588527,0.2,3.01347697346029,52,40,8
"57",-0.750104805533493,0.43485080672055,0.2,3.1898689652928,46,44,10
"58",-0.765300295857319,0.403015388786629,0.2,3.31536460878672,40,47,13
"59",-0.810930043681424,0.329567149632699,0.2,3.41784182391613,25,53,22
"60",-0.822416226527292,0.402323213483227,0.2,3.4729812048136,18,53,29
"61",-0.811091308750776,0.170349423266701,0,2.89289129483278,19,59,22
"62",-0.466448994398592,0.104885163130374,0,2.41154951065131,100,0,0
"63",-0.256557564874238,0.0865034251214155,0,2.00471608107829,100,0,0
"64",-0.0805026009105099,0.0674382049632744,0,1.67621562268383,100,0,0
"65",-0.0410478839227957,0.0736713693478464,0,1.39909907708692,100,0,0
"66",0.0920718603792579,0.0760836558905835,0,1.16955992126649,100,0,0
"67",0.306524331776676,0.0965068265965756,0,0.97460452188738,100,0,0
"68",0.262219082145509,0.133496381818365,0,0.823554160258825,100,0,0
"69",0.247445387340618,0.184568219317906,0,0.685430756050374,100,0,0
"70",0.0578868175243157,0.178427710547895,0,0.574399494707004,100,0,0
