"","y","N","m","z","n1","n2","n3"
"1",0.0474607533853907,1.20623863343599,0,0.0753605454974906,20,0,0
"2",0.020483182279417,1.04903792701665,0,0.0208221300696907,20,0,0
"3",-0.0367356508579594,0.934918959697014,0,0.0300717649392594,20,0,0
"4",0.0579159197206666,0.986679841462821,0,0.00261501879336112,20,0,0
"5",-0.10574168684159,0.940564407902972,0,-0.02442595851493,20,0,0
"6",0.00680417039968793,0.99977982471405,0,-0.0371276986594908,20,0,0
"7",0.0111311897810143,0.945699428787349,0,-0.0375665404902817,20,0,0
"8",0.0125896563841663,1.11295579659433,0,-0.0161340208981525,20,0,0
"9",-0.0353344267037056,0.978972475317694,0,-0.0409190759841456,20,0,0
"10",-0.0414851035849221,0.923355708693779,0,-0.0472894818625507,20,0,0
"11",0.0272786011387702,1.03676626943378,0,-0.0831185701825334,20,0,0
"12",-0.064139555821863,0.954216481939399,0.05,0.1389167512743,20,0,0
"13",-0.00443983926747846,1.08788084869075,0.1,0.448626294791788,18,2,0
"14",-0.0503106257757878,1.16394132027846,0.15,0.851975396650387,19,1,0
"15",-0.0391681692202949,1.31988197107035,0.2,1.24342637343564,20,0,0
"16",-0.22656586831108,1.55128405097961,0.2,1.4750096411167,16,4,0
"17",-0.206078984464677,1.1487253703348,0.2,1.6280662291829,18,2,0
"18",-0.327955696940811,1.10791421896721,0.2,1.79029397835816,15,5,0
"19",-0.429391402640194,0.812106818622379,0.2,2.11915353981395,16,4,0
"20",-0.320946667203342,0.931267619195071,0.2,2.281867935045,15,4,1
"21",-0.373821608643389,0.810388907120662,0.2,2.45282882660579,14,4,2
"22",-0.458144342218752,0.745991630733014,0.2,2.57360186444675,16,4,0
"23",-0.443605642682112,0.656164915690863,0.2,2.65861554089369,15,5,0
"24",-0.453303825958601,0.590374976129784,0.2,2.94019221620731,12,8,0
"25",-0.622381070634892,0.519542884608157,0.2,3.09434717967881,9,10,1
"26",-0.715186776309686,0.478774535331298,0.2,3.18920316023417,12,6,2
"27",-0.697976661993696,0.402869845757511,0.2,3.27610889673841,9,5,6
"28",-0.673559848163962,0.385440633573187,0.2,3.33483115657354,9,9,2
"29",-0.782429324729105,0.354886380455744,0.2,3.33932661946071,4,11,5
"30",-0.764460370050803,0.363769612296496,0.2,3.43342016075977,7,11,2
"31",-0.826333816851793,0.165937799736028,0,2.9145009485348,7,7,6
"32",-0.482419953278314,0.122447713170761,0,2.46558255194225,20,0,0
"33",-0.297005807819572,0.0596538805590702,0,2.1230764345233,20,0,0
"34",-0.107700483690812,0.0675005372901753,0,1.83910775410811,20,0,0
"35",-0.0437414399981786,0.0673764598012518,0,1.55629032339126,20,0,0
"36",0.196286921350581,0.0744433484587,0,1.28039133930039,20,0,0
"37",0.101388331386838,0.086540783489655,0,1.03253990368355,20,0,0
"38",0.152531158707246,0.0903689918684375,0,0.854064538977129,20,0,0
"39",0.203136254365095,0.157993420724368,0,0.753815692184388,20,0,0
"40",0.129421221501144,0.146807070939066,0,0.634929660550603,20,0,0
