"","y","N","m","z","n1","n2","n3"
"1",-0.0195814349230679,1.02482560487543,0,0.0377876807944679,50,0,0
"2",-0.14835936230244,0.869884058665963,0,0.0820296939179076,50,0,0
"3",-0.053432413559803,0.801652177093281,0,0.138675162742198,50,0,0
"4",-0.0536033437017513,0.698814449865274,0,0.163408014131333,50,0,0
"5",-0.174523498671772,0.594978664604286,0,0.143261058225375,50,0,0
"6",-0.0407269402935767,0.580968401503644,0,0.108225875590742,50,0,0
"7",-0.0385229248644634,0.561099974243825,0,0.0618753635403703,50,0,0
"8",-0.0889557402528553,0.53967700970512,0,0.0698088968069829,50,0,0
"9",-0.0194180944461168,0.584162342255635,0,0.0355786769537524,50,0,0
"10",0.221033795354482,0.658276112157761,0,-0.0310512604166012,50,0,0
"11",-0.104497813836482,0.595437314610142,0,-0.0171683465671145,50,0,0
"12",0.0439142115557736,0.695887585384299,0.025,0.0840065618412764,50,0,0
"13",-0.00946087582587501,0.690702183623211,0.05,0.387711559700842,47,3,0
"14",-0.250007982548444,0.584239646266438,0.075,0.716733929013328,45,5,0
"15",-0.170171562941558,0.615636027583317,0.1,1.10416203254415,44,6,0
"16",-0.0503317692672086,0.694048130921415,0.1,1.39504881232012,35,15,0
"17",-0.264125760743092,0.583890528108786,0.1,1.61780529139141,44,6,0
"18",-0.174325220109005,0.686633148560934,0.1,1.85157165039602,35,14,1
"19",-0.222961918409114,0.607560257993381,0.1,2.00798068534631,40,10,0
"20",-0.363708114960134,0.494390664174733,0.1,2.14060984759071,40,8,2
"21",-0.284360456095829,0.485365692922708,0.1,2.16274005749055,31,18,1
"22",-0.385304056613544,0.44212325325069,0.1,2.31238706818731,33,17,0
"23",-0.536488631431697,0.343772812723368,0.1,2.52472976633951,42,7,1
"24",-0.515397248303405,0.332153771290418,0.1,2.70712932085721,33,16,1
"25",-0.684043947806961,0.28367245204065,0.1,2.92995718609878,23,24,3
"26",-0.607519196426148,0.250525910378989,0.1,3.13516329803199,23,22,5
"27",-0.828057058158726,0.19753662593634,0.1,3.29050479098887,19,28,3
"28",-0.773390052317793,0.183412692448431,0.1,3.39908973360493,16,30,4
"29",-0.750032084854192,0.197814026172774,0.1,3.3584646374784,17,23,10
"30",-0.783134801394651,0.1747202218477,0.1,3.45854159962076,18,23,9
"31",-0.80283219293563,0.191252950947697,0.1,3.50710432219804,11,24,15
"32",-0.827496551855382,0.174214385797186,0.1,3.59056388804517,12,24,14
"33",-1.09331368766966,0.153595622783998,0.1,3.64386955150571,15,23,12
"34",-0.750195725445938,0.182515891628127,0.1,3.62355715848165,6,23,21
"35",-1.07088772943785,0.156712638634078,0.1,3.64749353712042,13,20,17
