"","y","N","m","z","n1","n2","n3"
"1",-0.13855098427354,0.814858577542086,0,-0.137339809739522,25,0,0
"2",0.0418673110170599,0.845870363549683,0,-0.0769589176077493,25,0,0
"3",-0.093177822497327,0.854908475419071,0,-0.0442103168660328,25,0,0
"4",0.457654817090487,1.48754501937515,0,-0.0718649435690275,25,0,0
"5",0.108694132568604,1.57118791350337,0,-0.0243141043399032,25,0,0
"6",-0.25632148806259,1.23589299515095,0,0.00611124678850062,25,0,0
"7",-0.21533106413342,0.858160476802188,0,-0.0236664051884534,25,0,0
"8",-0.0521966420498324,0.866964303780697,0,-0.0732551467913478,25,0,0
"9",-0.246920801020764,0.629801965360407,0,-0.0517230450341404,25,0,0
"10",0.119343001205793,0.707920834803462,0,0.0234400268680922,25,0,0
"11",0.304346667870041,0.920916863061183,0,0.027648782147128,25,0,0
"12",-0.19122154494925,0.835959300799827,0.05,0.177279577920563,25,0,0
"13",0.0967569503203251,1.02344615366525,0.1,0.413101912058854,23,2,0
"14",0.503827157403843,1.68651666713911,0.15,0.476819230218337,19,6,0
"15",-0.011444618426236,2.35453334882803,0.2,0.548194555233398,24,1,0
"16",0.197649922724878,2.75441395916754,0.2,0.537340676212396,21,4,0
"17",-1.08684940456497,1.088031621331,0.2,0.725104418841001,24,1,0
"18",0.16530883665076,1.51170693269768,0.2,0.711670450672109,16,8,1
"19",-0.327161758051822,0.915151349993106,0.2,0.837417200405689,18,6,1
"20",-0.0893355030219198,1.43373374795201,0.2,0.955286280860575,19,5,1
"21",-0.0747784372220096,1.42854382012845,0.2,1.03491256360518,19,5,1
"22",-0.0300194983056462,1.63271965705713,0.2,1.05254769383394,20,5,0
"23",-0.503570587195225,1.30690094122794,0.2,1.06445475008125,17,8,0
"24",-0.0771291331873352,1.33767368869772,0.2,1.10417513589415,19,6,0
"25",-0.283480246758065,1.32297883524357,0.2,1.06162604994897,14,8,3
"26",-0.265156485617765,0.925322300535018,0,0.834324617727394,17,4,4
"27",0.0663881704208887,1.0810768947321,0,0.695197334032816,25,0,0
